content,label,language
problems with gold account cancellations,non-insult,eng
I don't know what I need to do to cancel the {{Account Type}} avcount,non-insult,eng
information about the termination of my {{Account Category}} account,non-insult,eng
remove {{Account Type}} accoint,non-insult,eng
give me information about the deletion of a pro account,non-insult,eng
I want help to remove my freemium account,non-insult,eng
"I no longer make use of my {{Account Category}} account, help me close it",non-insult,eng
I need assistance cancelling my standard account,non-insult,eng
i dont know what i need to do to close the {{Account Category}} account,non-insult,eng
"I no longer need my {{Account Category}} account, I want to cancel it",non-insult,eng
i no longer need my standard account how can i cancel it,non-insult,eng
I do not know what I hae to do to close the {{Account Category}} account,non-insult,eng
can I remove a freemium account?,non-insult,eng
I would like information about {{Account Category}} account deletions,non-insult,eng
I don't know what I have to do to cancel the {{Account Type}} account,non-insult,eng
can I close a standard account?,non-insult,eng
problem with the removal of my {{Account Category}} account,non-insult,eng
i never usethe standard account assistance to close it,non-insult,eng
where can i find information about a {{Account Type}} account deletion,non-insult,eng
question about the removal of my standard account,non-insult,eng
I don't know what I have to do to delete my platinum acount,non-insult,eng
i dont use m freemium account I'm trying to cancel it,non-insult,eng
cancel {{Account Type}} account,non-insult,eng
I do not know what I have to do to delete a {{Account Category}} account,non-insult,eng
can ya help me cancel my platinum account,non-insult,eng
I want assistance deleting my standard account,non-insult,eng
question about the rermoval of a {{Account Category}} account,non-insult,eng
cancel platinum acount,non-insult,eng
I need information about the termination of my {{Account Type}} account,non-insult,eng
I do not know how I can delete a standard account,non-insult,eng
what do i have to do to cancel the {{Account Type}} account,non-insult,eng
give me information about  the removal of my {{Account Type}} account,non-insult,eng
how can i get information about pro account cancellations,non-insult,eng
problem with {{Account Type}} account removals,non-insult,eng
I don't know how I can close a {{Account Category}} account,non-insult,eng
cancelin {{Account Category}} account,non-insult,eng
cancel pro acount,non-insult,eng
I do not know what to do to cancel the standard account,non-insult,eng
have problems with the cancellation of my {{Account Type}} account,non-insult,eng
I don't know what to do to cancel the standard account,non-insult,eng
I want information about the termination of my {{Account Type}} account,non-insult,eng
problem with standard acount deletions,non-insult,eng
have a question about the cancellation of my {{Account Type}} account,non-insult,eng
information about the removal of a {{Account Type}} account,non-insult,eng
i do not know what i need to do to remove the {{Account Type}} account,non-insult,eng
problem with premium account deletions,non-insult,eng
deleting pro account,non-insult,eng
i have a problem with the termination of my {{Account Category}} account,non-insult,eng
can you help me to delete the platinum account?,non-insult,eng
what do i need to do to remove the {{Account Type}} account,non-insult,eng
"I do not want the premium account, can I delete it?",non-insult,eng
I need help closing a platinum account,non-insult,eng
I need information about the removal of my platinum account,non-insult,eng
"I don't use my bloody pro account, how do I remove it?",non-insult,eng
i need information about the termination of a {{Account Type}} account,non-insult,eng
close platinum account,non-insult,eng
i need assistance removing my {{Account Category}} account,non-insult,eng
i do not know what to do to close the {{Account Category}} account,non-insult,eng
deleting freemium account,non-insult,eng
could you help me cancelling the standard account?,non-insult,eng
I have a problem with the deletion of a {{Account Type}} account,non-insult,eng
I want information about my standard account termination,non-insult,eng
need assistance to cancel my freemium account,non-insult,eng
canceling platinum account,non-insult,eng
I want assistance to close my {{Account Type}} account,non-insult,eng
how can i find information about my {{Account Type}} account removal,non-insult,eng
i want information about the deletion of my {{Account Type}} accounnt,non-insult,eng
I want assistance canceling a {{Account Category}} acount,non-insult,eng
give me information about the deletion of a gold account,non-insult,eng
problem with {{Account Category}} account terminations,non-insult,eng
I do not know how to cancel the fucking standard account,non-insult,eng
"I do not need my {{Account Category}} account, I want help to delete it",non-insult,eng
I want assistance deleting a {{Account Category}} account,non-insult,eng
how can I find information about my premium account removal?,non-insult,eng
i need information about my standard account deletion,non-insult,eng
give me information about the removal of a premium account,non-insult,eng
clsoe {{Account Type}} account,non-insult,eng
I want help to cancel the freemium account,non-insult,eng
"I no longer use the {{Account Type}} account, I want help removing it",non-insult,eng
"I no longer use my {{Account Type}} account, I need help removing it",non-insult,eng
cancelling pro account,non-insult,eng
information about the deletion of a {{Account Type}} account,non-insult,eng
I have a problem with the cancellation of a freemium account,non-insult,eng
"I never use my {{Account Category}} account, could I cancel it?",non-insult,eng
i have  a question about the cancellation of a {{Account Type}} account,non-insult,eng
how to close a platinum account,non-insult,eng
I want information about a {{Account Category}} account cancellation,non-insult,eng
problems with the removal of my gold account,non-insult,eng
what do I need to do to delete a {{Account Category}} account?,non-insult,eng
delete {{Account Type}} acvount,non-insult,eng
I need information about the removal of a gold account,non-insult,eng
